hour,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
226,0,0,0,0,0,0,0,0,0,0,0.361393,0,0,0,0,0
227,0,0,0,0,0,0,0,0,0,0,0.384402,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0.155365,0,0,0,0,0
229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0,0,0.037319,0,0,0,0
232,0,0,0,0,0,0,0,0,0,0,0,0.393085,0,0,0,0
233,0,0,0,0,0,0,0,0,0,0,0,0.146285,0,0,0,0.147954
234,0,0,0,0,0,0,0.257432,0,0,0,0,0,0,0,0,0.385272
235,0.282159,0.283827,0.288983,0.290949,0.287921,0.301428,0.343443,0.308603,0.306663,0.305977,0.285118,0.285621,0.288434,0.286486,0.317435,0.30581
236,0.332553,0.335199,0.343346,0.35501,0.350122,0.369236,0.381485,0.380487,0.377951,0.376929,0.341517,0.353108,0.349108,0.337534,0.393152,0.326159
237,0.360646,0.363531,0.373525,0.387285,0.381038,0.373049,0.231048,0.252632,0.276585,0.287544,0.369245,0.385101,0.378484,0.364038,0.180257,1.868454
238,0.386506,0.386993,0.372303,0.163543,0.245737,0,0,0,0,0,0.390223,0.12165,0.280059,0.386051,0,0
239,0.155823,0.142604,0,0,0,0,0,0,0,0,0,0,0,0.156384,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,0.005611,0,0,0,0,0,0,0,0,0,0,0,0,0.005572,0,0.005426
251,0.288658,0.292696,0.297041,0.296987,0.296874,0.30942,0.315411,0.313811,0.312559,0.310244,0.294114,0.294766,0.295187,0.291471,0.324484,0.277362
252,0.303023,0.305841,0.312158,0.311284,0.312961,0.329382,0.336771,0.334621,0.333126,0.329619,0.306417,0.308463,0.306532,0.302676,0.354954,0.287037
253,0.330948,0.332916,0.340931,0.339522,0.343285,0.363743,0.370128,0.370013,0.368425,0.363961,0.331882,0.335884,0.329343,0.327327,0.393594,0.310215
254,0.347061,0.349094,0.358191,0.357097,0.362724,0.385665,0.38808,0.393856,0.392009,0.386967,0.347705,0.352901,0.341461,0.342621,0.343673,0.324177
255,0.369501,0.371494,0.382191,0.381633,0.389079,0.318148,0.278535,0.214512,0.235775,0.293813,0.369562,0.375976,0.358126,0.363798,0,0.342739
256,0.395295,0.397934,0.327873,0.330921,0.239563,0,0,0,0,0,0.394876,0.402259,0.377284,0.388613,0,0.363554
257,0.125877,0.081383,0,0,0,0,0,0,0,0,0.116705,0.017417,0.386195,0.205078,0,0.382254
258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317169
259,0.21811,0.22103,0.222643,0.224993,0.222653,0.223274,0.222162,0.225565,0.226254,0.225799,0.221576,0.221308,0.213131,0.220184,0,0.212039
260,0.379922,0.385031,0.388432,0.394749,0.388863,0.372555,0.394898,0.340802,0.327834,0.333856,0.384777,0.38437,0.375501,0.381239,0,0.364509
261,0.170138,0.101402,0.073929,0.023124,0.073017,0,0,0,0,0,0.100652,0.107259,0.197486,0.15386,0,0.325834
262,0.205333,0.207883,0.209982,0.205768,0.210277,0.211568,0.212737,0.214187,0.214354,0.213101,0.208639,0.208718,0.202292,0.206709,0.234286,0.197935
263,0.354097,0.358039,0.362668,0.36673,0.364522,0.379497,0.380332,0.384607,0.385445,0.381593,0.358033,0.359476,0.354952,0.352583,0.360305,2.030609
264,0.385545,0.388851,0.346627,0.298655,0.321822,0.163205,0.15226,0.114868,0.110303,0.144817,0.387762,0.38577,0.383573,0.379641,0.395025,0
265,0.061924,0.018299,0,0,0,0,0,0,0,0,0.024443,0,0.065563,0.121524,0.103536,0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0.031508,0.031714,0.026197,0.026272,0.026178,0.027092,0.027382,0.027367,0.027067,0.026912,0.026025,0.026179,0.026179,0.45,0.016506,0.030122
